Date__(UT)__HR:MN,R.A._(ICRF),DEC_(ICRF),delta,deldot
 2022-Feb-07 00:00,280.40142,-23.65664,2.13017561,-10.4608821
 2022-Feb-08 00:00,281.20054,-23.61416,2.124128695,-10.4794158
 2022-Feb-09 00:00,281.9997,-23.56766,2.11807144,-10.4967086
 2022-Feb-10 00:00,282.79883,-23.51715,2.112004541,-10.5128309
 2022-Feb-11 00:00,283.59791,-23.46263,2.105928655,-10.5278511
 2022-Feb-12 00:00,284.39687,-23.40412,2.099844397,-10.5418375
 2022-Feb-13 00:00,285.19569,-23.34161,2.093752345,-10.5548618
 2022-Feb-14 00:00,285.99431,-23.27512,2.087653031,-10.5670018
 2022-Feb-15 00:00,286.7927,-23.20466,2.081546944,-10.5783444
 2022-Feb-16 00:00,287.59081,-23.13024,2.075434514,-10.5889849
 2022-Feb-17 00:00,288.3886,-23.05187,2.06931612,-10.5990258
 2022-Feb-18 00:00,289.18604,-22.96955,2.063192076,-10.6085712
 2022-Feb-19 00:00,289.98308,-22.88331,2.057062641,-10.6177205
 2022-Feb-20 00:00,290.77968,-22.79316,2.050928016,-10.6265596
 2022-Feb-21 00:00,291.57581,-22.69911,2.044788362,-10.6351539
 2022-Feb-22 00:00,292.3714,-22.60118,2.038643807,-10.6435412
 2022-Feb-23 00:00,293.16643,-22.49938,2.032494467,-10.651727
 2022-Feb-24 00:00,293.96084,-22.39374,2.026340466,-10.6596817
 2022-Feb-25 00:00,294.75459,-22.28427,2.020181955,-10.6673387
 2022-Feb-26 00:00,295.54763,-22.171,2.014019133,-10.6745953
 2022-Feb-27 00:00,296.3399,-22.05394,2.007852269,-10.6813174
 2022-Feb-28 00:00,297.13135,-21.93313,2.001681717,-10.6873485
 2022-Mar-01 00:00,297.92194,-21.80858,1.995507922,-10.6925252
 2022-Mar-02 00:00,298.71161,-21.68033,1.989331423,-10.6966957
 2022-Mar-03 00:00,299.50033,-21.5484,1.983152839,-10.6997384
 2022-Mar-04 00:00,300.28804,-21.41283,1.976972844,-10.7015735
 2022-Mar-05 00:00,301.0747,-21.27364,1.97079215,-10.7021668
 2022-Mar-06 00:00,301.86029,-21.13086,1.964611473,-10.7015245
 2022-Mar-07 00:00,302.64477,-20.98452,1.958431517,-10.6996824
 2022-Mar-08 00:00,303.42811,-20.83466,1.952252961,-10.6966944
 2022-Mar-09 00:00,304.21028,-20.68131,1.946076448,-10.6926232
 2022-Mar-10 00:00,304.99126,-20.5245,1.939902585,-10.687534
 2022-Mar-11 00:00,305.77103,-20.36426,1.933731942,-10.6814916
 2022-Mar-12 00:00,306.54956,-20.20063,1.92756505,-10.674561
