Date__(UT)__HR:MN,R.A._(ICRF),DEC_(ICRF),delta,deldot
 2022-Nov-21 00:00,81.18139,24.69893,0.554147051,-3.2398192
 2022-Nov-22 00:00,80.84411,24.73069,0.552361058,-2.9439405
 2022-Nov-23 00:00,80.49495,24.76073,0.550747913,-2.6412867
 2022-Nov-24 00:00,80.1346,24.78895,0.549311433,-2.3322096
 2022-Nov-25 00:00,79.7638,24.81526,0.548055205,-2.0171515
 2022-Nov-26 00:00,79.38333,24.83959,0.546982536,-1.6966292
 2022-Nov-27 00:00,78.99403,24.86185,0.546096423,-1.3712013
 2022-Nov-28 00:00,78.59675,24.88199,0.545399536,-1.0414309
 2022-Nov-29 00:00,78.19238,24.89994,0.544894227,-0.7078531
 2022-Nov-30 00:00,77.78182,24.91567,0.544582551,-0.3709571
 2022-Dec-01 00:00,77.366,24.92914,0.544466297,-0.0311825
 2022-Dec-02 00:00,76.94584,24.94032,0.544547011,0.3110751
 2022-Dec-03 00:00,76.52227,24.94919,0.544826022,0.6554547
 2022-Dec-04 00:00,76.09622,24.95576,0.545304458,1.0016203
 2022-Dec-05 00:00,75.66863,24.96003,0.545983258,1.3492531
 2022-Dec-06 00:00,75.24042,24.96202,0.546863181,1.6980455
 2022-Dec-07 00:00,74.81252,24.96178,0.54794481,2.0476948
 2022-Dec-08 00:00,74.38586,24.95934,0.549228552,2.3978993
 2022-Dec-09 00:00,73.96134,24.95477,0.550714642,2.7483532
 2022-Dec-10 00:00,73.53986,24.94813,0.552403133,3.0987441
 2022-Dec-11 00:00,73.1223,24.93952,0.554293898,3.4487511
 2022-Dec-12 00:00,72.70954,24.92903,0.556386621,3.798046
 2022-Dec-13 00:00,72.30242,24.91677,0.558680795,4.146295
 2022-Dec-14 00:00,71.90176,24.90285,0.56117572,4.4931627
 2022-Dec-15 00:00,71.50836,24.88739,0.563870501,4.8383153
 2022-Dec-16 00:00,71.123,24.87055,0.566764053,5.181423
 2022-Dec-17 00:00,70.7464,24.85244,0.569855102,5.5221606
 2022-Dec-18 00:00,70.37929,24.83323,0.573142185,5.860204
 2022-Dec-19 00:00,70.02233,24.81307,0.576623652,6.1952226
 2022-Dec-20 00:00,69.67617,24.79211,0.580297656,6.5268677
 2022-Dec-21 00:00,69.34142,24.77052,0.584162143,6.8547593
 2022-Dec-22 00:00,69.01864,24.74845,0.588214825,7.1784768
 2022-Dec-23 00:00,68.70837,24.72608,0.59245316,7.4975619
 2022-Dec-24 00:00,68.4111,24.70355,0.596874337,7.8115397
 2022-Dec-25 00:00,68.12727,24.68104,0.601475273,8.1199586
 2022-Dec-26 00:00,67.85727,24.6587,0.606252643,8.4224341
 2022-Dec-27 00:00,67.60144,24.63666,0.611202927,8.7186823
 2022-Dec-28 00:00,67.36004,24.61507,0.616322473,9.0085298
 2022-Dec-29 00:00,67.13331,24.59405,0.621607559,9.2919012
 2022-Dec-30 00:00,66.9214,24.57373,0.627054442,9.5687959
 2022-Dec-31 00:00,66.72446,24.55421,0.632659393,9.8392628
 2023-Jan-01 00:00,66.54256,24.53559,0.638418722,10.1033814
 2023-Jan-02 00:00,66.37574,24.51796,0.64432879,10.3612486
 2023-Jan-03 00:00,66.22404,24.50141,0.650386018,10.6129722
 2023-Jan-04 00:00,66.08742,24.486,0.656586889,10.8586662
 2023-Jan-05 00:00,65.96586,24.47181,0.662927956,11.0984484
 2023-Jan-06 00:00,65.8593,24.45889,0.669405838,11.3324384
 2023-Jan-07 00:00,65.76764,24.4473,0.676017224,11.5607546
 2023-Jan-08 00:00,65.69079,24.43708,0.682758871,11.783512
 2023-Jan-09 00:00,65.62865,24.42827,0.689627601,12.0008203
 2023-Jan-10 00:00,65.58107,24.42089,0.696620296,12.2127827
 2023-Jan-11 00:00,65.54793,24.41498,0.703733898,12.4194953
 2023-Jan-12 00:00,65.52906,24.41055,0.710965399,12.6210469
 2023-Jan-13 00:00,65.52433,24.40761,0.718311843,12.8175188
 2023-Jan-14 00:00,65.53356,24.40619,0.725770317,13.0089832
 2023-Jan-15 00:00,65.55658,24.40627,0.733337948,13.1955
 2023-Jan-16 00:00,65.59323,24.40786,0.74101189,13.3771102
 2023-Jan-17 00:00,65.64333,24.41096,0.748789315,13.5538269
 2023-Jan-18 00:00,65.7067,24.41555,0.756667392,13.7256254
 2023-Jan-19 00:00,65.78316,24.42163,0.764643262,13.8924349
 2023-Jan-20 00:00,65.87253,24.42917,0.772714012,14.0541399
 2023-Jan-21 00:00,65.97464,24.43816,0.780876653,14.2105973
 2023-Jan-22 00:00,66.08928,24.44856,0.789128113,14.3616694
 2023-Jan-23 00:00,66.21627,24.46036,0.797465253,14.507267
 2023-Jan-24 00:00,66.35537,24.4735,0.805884904,14.6473832
 2023-Jan-25 00:00,66.50638,24.48796,0.814383921,14.7821049
 2023-Jan-26 00:00,66.66905,24.50367,0.822959233,14.9115987
 2023-Jan-27 00:00,66.84314,24.5206,0.831607881,15.0360825
 2023-Jan-28 00:00,67.02841,24.53867,0.840327042,15.1557953
 2023-Jan-29 00:00,67.2246,24.55785,0.849114028,15.2709754
 2023-Jan-30 00:00,67.43148,24.57806,0.857966287,15.3818485
 2023-Jan-31 00:00,67.64878,24.59924,0.866881393,15.4886236
 2023-Feb-01 00:00,67.87629,24.62134,0.875857035,15.5914934
 2023-Feb-02 00:00,68.11375,24.64429,0.88489101,15.6906369
 2023-Feb-03 00:00,68.36093,24.66803,0.893981214,15.7862212
 2023-Feb-04 00:00,68.61762,24.69249,0.903125637,15.8784034
 2023-Feb-05 00:00,68.88358,24.71761,0.912322358,15.9673297
 2023-Feb-06 00:00,69.15862,24.74333,0.921569535,16.0531354
 2023-Feb-07 00:00,69.44251,24.76959,0.930865402,16.1359429
 2023-Feb-08 00:00,69.73506,24.79632,0.940208259,16.2158602
 2023-Feb-09 00:00,70.03607,24.82347,0.949596464,16.2929794
 2023-Feb-10 00:00,70.34536,24.85096,0.959028423,16.3673758
 2023-Feb-11 00:00,70.66275,24.87875,0.968502581,16.4391063
 2023-Feb-12 00:00,70.98806,24.90677,0.97801741,16.5082078
 2023-Feb-13 00:00,71.32113,24.93496,0.987571397,16.5746938
 2023-Feb-14 00:00,71.6618,24.96328,0.997163028,16.6385499
 2023-Feb-15 00:00,72.00991,24.99165,1.006790772,16.6997284
 2023-Feb-16 00:00,72.36533,25.02002,1.016453059,16.7581435
 2023-Feb-17 00:00,72.72791,25.04834,1.026148261,16.8136729
 2023-Feb-18 00:00,73.0975,25.07655,1.035874667,16.866169
 2023-Feb-19 00:00,73.47398,25.10459,1.045630483,16.9154831
 2023-Feb-20 00:00,73.8572,25.13241,1.055413835,16.9614992
 2023-Feb-21 00:00,74.24702,25.15996,1.065222799,17.0041677
 2023-Feb-22 00:00,74.64329,25.18716,1.075055448,17.0435222
 2023-Feb-23 00:00,75.04586,25.21397,1.084909897,17.0796753
 2023-Feb-24 00:00,75.45456,25.24032,1.094784343,17.1127949
 2023-Feb-25 00:00,75.86925,25.26615,1.104677089,17.1430747
 2023-Feb-26 00:00,76.28977,25.29141,1.114586552,17.1707094
 2023-Feb-27 00:00,76.71596,25.31604,1.124511257,17.1958796
 2023-Feb-28 00:00,77.14768,25.33999,1.134449829,17.2187462
 2023-Mar-01 00:00,77.58477,25.36319,1.144400977,17.2394512
 2023-Mar-02 00:00,78.02709,25.3856,1.154363491,17.2581211
 2023-Mar-03 00:00,78.47451,25.40716,1.16433623,17.2748714
 2023-Mar-04 00:00,78.92689,25.42782,1.174318115,17.2898096
 2023-Mar-05 00:00,79.3841,25.44753,1.184308131,17.3030374
 2023-Mar-06 00:00,79.84602,25.46625,1.194305316,17.3146502
 2023-Mar-07 00:00,80.31252,25.48393,1.204308764,17.3247358
 2023-Mar-08 00:00,80.78348,25.50052,1.214317615,17.3333708
 2023-Mar-09 00:00,81.25881,25.51598,1.224331051,17.3406174
 2023-Mar-10 00:00,81.73838,25.53027,1.234348282,17.3465192
 2023-Mar-11 00:00,82.22211,25.54334,1.24436854,17.3510984
 2023-Mar-12 00:00,82.70988,25.55515,1.254391062,17.3543527
 2023-Mar-13 00:00,83.20162,25.56567,1.264415074,17.3562539
 2023-Mar-14 00:00,83.69723,25.57486,1.274439782,17.3567466
 2023-Mar-15 00:00,84.19663,25.58268,1.284464348,17.3557468
 2023-Mar-16 00:00,84.69974,25.58909,1.294487879,17.3531424
 2023-Mar-17 00:00,85.20649,25.59406,1.304509411,17.3487965
 2023-Mar-18 00:00,85.71679,25.59755,1.314527893,17.3425563
 2023-Mar-19 00:00,86.23058,25.59952,1.324542187,17.3342693
 2023-Mar-20 00:00,86.74778,25.59995,1.334551071,17.323807
 2023-Mar-21 00:00,87.2683,25.5988,1.344553264,17.3110896
 2023-Mar-22 00:00,87.79207,25.59603,1.354547456,17.2961036
 2023-Mar-23 00:00,88.31898,25.59161,1.364532349,17.2789056
 2023-Mar-24 00:00,88.84896,25.5855,1.374506696,17.2596098
 2023-Mar-25 00:00,89.3819,25.57768,1.384469328,17.2383655
 2023-Mar-26 00:00,89.91772,25.56811,1.394419166,17.2153337
 2023-Mar-27 00:00,90.45631,25.55676,1.404355223,17.1906697
 2023-Mar-28 00:00,90.99758,25.54361,1.414276597,17.1645132
 2023-Mar-29 00:00,91.54144,25.52863,1.424182463,17.1369866
 2023-Mar-30 00:00,92.08781,25.51178,1.43407206,17.1081968
 2023-Mar-31 00:00,92.63659,25.49305,1.443944687,17.0782392
 2023-Apr-01 00:00,93.1877,25.47242,1.453799695,17.0472026
 2023-Apr-02 00:00,93.74106,25.44985,1.463636486,17.0151721
 2023-Apr-03 00:00,94.29659,25.42532,1.47345451,16.9822307
 2023-Apr-04 00:00,94.85421,25.39883,1.483253264,16.9484585
 2023-Apr-05 00:00,95.41385,25.37034,1.493032289,16.9139297
 2023-Apr-06 00:00,95.97544,25.33983,1.502791168,16.8787069
 2023-Apr-07 00:00,96.53891,25.3073,1.512529514,16.8428348
 2023-Apr-08 00:00,97.1042,25.27272,1.522246959,16.8063328
 2023-Apr-09 00:00,97.67125,25.23608,1.531943137,16.76919
 2023-Apr-10 00:00,98.24,25.19736,1.541617667,16.731362
 2023-Apr-11 00:00,98.81041,25.15654,1.551270133,16.6927713
 2023-Apr-12 00:00,99.38243,25.11362,1.560900063,16.6533111
 2023-Apr-13 00:00,99.956,25.06858,1.57050692,16.6128508
 2023-Apr-14 00:00,100.53108,25.02139,1.580090084,16.5712445
 2023-Apr-15 00:00,101.10764,24.97206,1.58964885,16.5283412
 2023-Apr-16 00:00,101.68561,24.92057,1.599182426,16.4839974
 2023-Apr-17 00:00,102.26497,24.8669,1.608689943,16.4380922
 2023-Apr-18 00:00,102.84566,24.81104,1.618170475,16.3905427
 2023-Apr-19 00:00,103.42762,24.75299,1.627623058,16.3413159
 2023-Apr-20 00:00,104.01081,24.69272,1.637046729,16.2904332
 2023-Apr-21 00:00,104.59516,24.63024,1.646440548,16.237966
 2023-Apr-22 00:00,105.18062,24.56552,1.655803631,16.184023
 2023-Apr-23 00:00,105.76713,24.49858,1.665135162,16.1287329
 2023-Apr-24 00:00,106.35462,24.42939,1.674434402,16.0722294
 2023-Apr-25 00:00,106.94303,24.35795,1.683700686,16.0146393
 2023-Apr-26 00:00,107.53231,24.28426,1.692933422,15.9560775
 2023-Apr-27 00:00,108.1224,24.20832,1.702132077,15.8966455
 2023-Apr-28 00:00,108.71323,24.13013,1.711296176,15.8364344
 2023-Apr-29 00:00,109.30476,24.04967,1.720425294,15.7755281
 2023-Apr-30 00:00,109.89693,23.96695,1.729519052,15.7140078
 2023-May-01 00:00,110.4897,23.88198,1.738577119,15.6519547
 2023-May-02 00:00,111.08301,23.79474,1.747599211,15.5894506
 2023-May-03 00:00,111.67682,23.70525,1.756585091,15.526577
 2023-May-04 00:00,112.27107,23.6135,1.765534569,15.4634093
 2023-May-05 00:00,112.86575,23.51949,1.774447492,15.4000086
 2023-May-06 00:00,113.46079,23.42324,1.783323737,15.3364111
 2023-May-07 00:00,114.05618,23.32473,1.792163195,15.2726171
 2023-May-08 00:00,114.65187,23.22398,1.80096574,15.2085841
 2023-May-09 00:00,115.24786,23.12098,1.809731212,15.1442255
 2023-May-10 00:00,115.8441,23.01574,1.818459388,15.0794166
 2023-May-11 00:00,116.44057,22.90826,1.827149966,15.0140069
 2023-May-12 00:00,117.03727,22.79855,1.835802552,14.9478355
 2023-May-13 00:00,117.63416,22.6866,1.84441666,14.8807457
 2023-May-14 00:00,118.23124,22.57242,1.85299172,14.8125985
 2023-May-15 00:00,118.82846,22.45601,1.861527085,14.7432822
 2023-May-16 00:00,119.42582,22.33739,1.870022058,14.6727207
 2023-May-17 00:00,120.02328,22.21654,1.878475907,14.6008776
 2023-May-18 00:00,120.62083,22.09348,1.88688789,14.5277577
 2023-May-19 00:00,121.21842,21.96821,1.895257282,14.4534041
 2023-May-20 00:00,121.81603,21.84075,1.903583389,14.377892
 2023-May-21 00:00,122.41362,21.7111,1.911865571,14.301318
 2023-May-22 00:00,123.01117,21.57927,1.920103244,14.2237903
 2023-May-23 00:00,123.60864,21.44527,1.928295889,14.1454189
 2023-May-24 00:00,124.206,21.30911,1.936443051,14.0663093
 2023-May-25 00:00,124.80322,21.17081,1.944544331,13.986559
 2023-May-26 00:00,125.40027,21.03037,1.952599385,13.9062574
 2023-May-27 00:00,125.99712,20.88782,1.96060792,13.8254878
 2023-May-28 00:00,126.59375,20.74315,1.968569688,13.7443311
 2023-May-29 00:00,127.19012,20.59639,1.976484489,13.6628686
 2023-May-30 00:00,127.78622,20.44755,1.984352171,13.5811846
 2023-May-31 00:00,128.38203,20.29665,1.992172631,13.4993672
 2023-Jun-01 00:00,128.97752,20.1437,1.999945818,13.4175046
 2023-Jun-02 00:00,129.57267,19.98871,2.007671729,13.335678
 2023-Jun-03 00:00,130.16748,19.8317,2.015350405,13.253949
 2023-Jun-04 00:00,130.76193,19.67268,2.022981912,13.1723441
 2023-Jun-05 00:00,131.35601,19.51167,2.030566317,13.0908402
 2023-Jun-06 00:00,131.94972,19.34867,2.038103658,13.0093576
 2023-Jun-07 00:00,132.54305,19.18371,2.045593912,12.9277637
 2023-Jun-08 00:00,133.13601,19.0168,2.053036966,12.8458893
 2023-Jun-09 00:00,133.7286,18.84793,2.060432607,12.7635519
 2023-Jun-10 00:00,134.32082,18.67714,2.067780515,12.6805785
 2023-Jun-11 00:00,134.91268,18.50443,2.07508028,12.5968233
 2023-Jun-12 00:00,135.50416,18.32981,2.082331416,12.5121761
 2023-Jun-13 00:00,136.09528,18.15329,2.089533387,12.4265657
 2023-Jun-14 00:00,136.68603,17.97489,2.096685623,12.3399575
 2023-Jun-15 00:00,137.27641,17.79462,2.103787547,12.2523505
 2023-Jun-16 00:00,137.8664,17.61251,2.110838589,12.1637728
 2023-Jun-17 00:00,138.456,17.42856,2.117838202,12.0742763
 2023-Jun-18 00:00,139.04522,17.24279,2.124785875,11.9839317
 2023-Jun-19 00:00,139.63402,17.05522,2.131681142,11.8928223
 2023-Jun-20 00:00,140.22242,16.86587,2.138523587,11.8010382
 2023-Jun-21 00:00,140.8104,16.67476,2.145312847,11.7086713
 2023-Jun-22 00:00,141.39795,16.48191,2.152048611,11.6158117
 2023-Jun-23 00:00,141.98507,16.28733,2.15873062,11.5225457
 2023-Jun-24 00:00,142.57176,16.09105,2.165358664,11.4289563
 2023-Jun-25 00:00,143.15799,15.89309,2.171932578,11.3351246
 2023-Jun-26 00:00,143.74378,15.69347,2.178452248,11.2411326
 2023-Jun-27 00:00,144.32912,15.49221,2.184917603,11.1470658
 2023-Jun-28 00:00,144.91401,15.28933,2.191328629,11.0530153
 2023-Jun-29 00:00,145.49844,15.08485,2.19768536,10.9590773
 2023-Jun-30 00:00,146.08242,14.87879,2.203987891,10.8653477
 2023-Jul-01 00:00,146.66595,14.67117,2.210236368,10.7719122
 2023-Jul-02 00:00,147.24904,14.46202,2.216430977,10.6788285
 2023-Jul-03 00:00,147.8317,14.25135,2.22257193,10.5861073
 2023-Jul-04 00:00,148.41393,14.03917,2.228659422,10.4936951
 2023-Jul-05 00:00,148.99576,13.82552,2.234693601,10.4014708
 2023-Jul-06 00:00,149.5772,13.6104,2.240674527,10.3092585
 2023-Jul-07 00:00,150.15827,13.39382,2.246602147,10.2168561
 2023-Jul-08 00:00,150.73898,13.17581,2.252476296,10.1240673
 2023-Jul-09 00:00,151.31936,12.95638,2.2582967,10.0307274
 2023-Jul-10 00:00,151.89943,12.73554,2.264063003,9.9367159
 2023-Jul-11 00:00,152.4792,12.51331,2.269774795,9.841958
 2023-Jul-12 00:00,153.05868,12.28972,2.275431633,9.7464186
 2023-Jul-13 00:00,153.63789,12.06477,2.281033061,9.6500937
 2023-Jul-14 00:00,154.21683,11.83849,2.286578633,9.5530037
 2023-Jul-15 00:00,154.79553,11.6109,2.292067916,9.4551869
 2023-Jul-16 00:00,155.37399,11.38202,2.297500505,9.3566957
 2023-Jul-17 00:00,155.95222,11.15186,2.302876028,9.2575931
 2023-Jul-18 00:00,156.53022,10.92046,2.308194152,9.1579506
 2023-Jul-19 00:00,157.10801,10.68784,2.313454588,9.0578447
 2023-Jul-20 00:00,157.6856,10.45401,2.318657091,8.9573554
 2023-Jul-21 00:00,158.26299,10.219,2.323801462,8.8565638
 2023-Jul-22 00:00,158.8402,9.98283,2.328887551,8.7555513
 2023-Jul-23 00:00,159.41723,9.74553,2.333915254,8.6544
 2023-Jul-24 00:00,159.9941,9.50713,2.338884515,8.5531932
 2023-Jul-25 00:00,160.57081,9.26764,2.343795326,8.4520183
 2023-Jul-26 00:00,161.14738,9.02708,2.348647733,8.3509677
 2023-Jul-27 00:00,161.72382,8.7855,2.353441835,8.2501405
 2023-Jul-28 00:00,162.30014,8.5429,2.358177792,8.14964
 2023-Jul-29 00:00,162.87637,8.29931,2.362855821,8.0495665
 2023-Jul-30 00:00,163.4525,8.05476,2.367476194,7.9500029
 2023-Jul-31 00:00,164.02858,7.80926,2.372039222,7.850995
 2023-Aug-01 00:00,164.60461,7.56284,2.376545224,7.7525289
 2023-Aug-02 00:00,165.18062,7.31551,2.380994492,7.6545167
 2023-Aug-03 00:00,165.75664,7.06731,2.385387245,7.5567996
 2023-Aug-04 00:00,166.3327,6.81823,2.389723596,7.4591722
 2023-Aug-05 00:00,166.90883,6.56831,2.394003534,7.3614192
 2023-Aug-06 00:00,167.48506,6.31755,2.39822693,7.263351
 2023-Aug-07 00:00,168.06141,6.06598,2.402393557,7.1648252
 2023-Aug-08 00:00,168.63791,5.81362,2.406503124,7.0657515
 2023-Aug-09 00:00,169.2146,5.56049,2.410555299,6.9660855
 2023-Aug-10 00:00,169.79148,5.3066,2.414549736,6.8658177
 2023-Aug-11 00:00,170.36859,5.05198,2.41848609,6.7649619
 2023-Aug-12 00:00,170.94595,4.79665,2.42236403,6.663548
 2023-Aug-13 00:00,171.52358,4.54064,2.426183244,6.5616162
 2023-Aug-14 00:00,172.10149,4.28396,2.429943448,6.459215
 2023-Aug-15 00:00,172.67971,4.02665,2.433644386,6.3564
 2023-Aug-16 00:00,173.25826,3.76873,2.437285836,6.2532332
 2023-Aug-17 00:00,173.83716,3.51022,2.440867614,6.1497831
 2023-Aug-18 00:00,174.41642,3.25115,2.444389579,6.0461235
 2023-Aug-19 00:00,174.99607,2.99155,2.447851632,5.9423332
 2023-Aug-20 00:00,175.57612,2.73144,2.451253721,5.8384952
 2023-Aug-21 00:00,176.15659,2.47086,2.454595843,5.7346964
 2023-Aug-22 00:00,176.7375,2.20982,2.457878047,5.6310278
 2023-Aug-23 00:00,177.31888,1.94835,2.461100437,5.5275856
 2023-Aug-24 00:00,177.90073,1.68649,2.464263171,5.4244713
 2023-Aug-25 00:00,178.48309,1.42426,2.467366469,5.3217907
 2023-Aug-26 00:00,179.06597,1.16169,2.470410613,5.2196498
 2023-Aug-27 00:00,179.6494,0.8988,2.473395944,5.1181445
 2023-Aug-28 00:00,180.2334,0.63562,2.476322849,5.0173445
 2023-Aug-29 00:00,180.818,0.37218,2.479191747,4.9172721
 2023-Aug-30 00:00,181.40323,0.10849,2.482003047,4.8178829
 2023-Aug-31 00:00,181.98912,-0.15542,2.484757113,4.7190574
 2023-Sep-01 00:00,182.57571,-0.41952,2.487454221,4.6206137
 2023-Sep-02 00:00,183.16303,-0.6838,2.49009453,4.522338
 2023-Sep-03 00:00,183.75111,-0.94823,2.492678076,4.4240239
 2023-Sep-04 00:00,184.34,-1.21279,2.495204787,4.3255028
 2023-Sep-05 00:00,184.92972,-1.47747,2.497674506,4.2266586
 2023-Sep-06 00:00,185.52031,-1.74223,2.500087026,4.1274265
 2023-Sep-07 00:00,186.11179,-2.00705,2.502442114,4.0277823
 2023-Sep-08 00:00,186.70421,-2.2719,2.504739532,3.9277298
 2023-Sep-09 00:00,187.29757,-2.53676,2.506979051,3.8272896
 2023-Sep-10 00:00,187.89192,-2.8016,2.509160454,3.7264928
 2023-Sep-11 00:00,188.48728,-3.0664,2.511283546,3.6253766
 2023-Sep-12 00:00,189.08367,-3.33111,2.513348155,3.5239835
 2023-Sep-13 00:00,189.68113,-3.59572,2.515354134,3.4223621
 2023-Sep-14 00:00,190.27966,-3.86019,2.517301367,3.320568
 2023-Sep-15 00:00,190.87931,-4.1245,2.519189774,3.2186656
 2023-Sep-16 00:00,191.48009,-4.3886,2.521019311,3.1167283
 2023-Sep-17 00:00,192.08202,-4.65247,2.522789983,3.0148386
 2023-Sep-18 00:00,192.68513,-4.91607,2.524501842,2.9130876
 2023-Sep-19 00:00,193.28943,-5.17938,2.526154997,2.8115735
 2023-Sep-20 00:00,193.89497,-5.44236,2.527749615,2.7104003
 2023-Sep-21 00:00,194.50174,-5.70497,2.529285923,2.6096764
 2023-Sep-22 00:00,195.10979,-5.96719,2.530764213,2.509512
 2023-Sep-23 00:00,195.71913,-6.22898,2.532184839,2.4100158
 2023-Sep-24 00:00,196.32979,-6.49031,2.533548218,2.3112874
 2023-Sep-25 00:00,196.94179,-6.75114,2.534854816,2.2134064
 2023-Sep-26 00:00,197.55516,-7.01144,2.536105138,2.1164161
 2023-Sep-27 00:00,198.16994,-7.27119,2.537299699,2.020307
 2023-Sep-28 00:00,198.78614,-7.53036,2.538438989,1.9250042
 2023-Sep-29 00:00,199.40382,-7.78891,2.539523436,1.8303687
 2023-Sep-30 00:00,200.02301,-8.04681,2.540553375,1.7362155
 2023-Oct-01 00:00,200.64373,-8.30405,2.541529025,1.6423446
 2023-Oct-02 00:00,201.26603,-8.56058,2.542450495,1.5485737
 2023-Oct-03 00:00,201.88994,-8.81639,2.543317801,1.4547611
 2023-Oct-04 00:00,202.51549,-9.07143,2.544130889,1.360814
 2023-Oct-05 00:00,203.14272,-9.32568,2.544889666,1.2666837
 2023-Oct-06 00:00,203.77166,-9.57911,2.545594019,1.1723553
 2023-Oct-07 00:00,204.40233,-9.83167,2.546243836,1.0778357
 2023-Oct-08 00:00,205.03477,-10.08335,2.546839012,0.9831446
 2023-Oct-09 00:00,205.66899,-10.33409,2.547379454,0.8883085
 2023-Oct-10 00:00,206.30503,-10.58387,2.547865089,0.7933581
 2023-Oct-11 00:00,206.94291,-10.83264,2.54829586,0.6983288
 2023-Oct-12 00:00,207.58266,-11.08038,2.548671732,0.6032622
 2023-Oct-13 00:00,208.22428,-11.32703,2.5489927,0.5082092
 2023-Oct-14 00:00,208.86782,-11.57257,2.549258787,0.4132328
 2023-Oct-15 00:00,209.51328,-11.81696,2.549470061,0.3184101
 2023-Oct-16 00:00,210.16069,-12.06014,2.549626635,0.2238333
 2023-Oct-17 00:00,210.81006,-12.30209,2.549728681,0.129608
 2023-Oct-18 00:00,211.46141,-12.54276,2.549776437,0.0358502
 2023-Oct-19 00:00,212.11476,-12.78211,2.549770206,-0.0573184
 2023-Oct-20 00:00,212.77013,-13.0201,2.549710365,-0.1497756
 2023-Oct-21 00:00,213.42754,-13.25669,2.549597357,-0.2414056
 2023-Oct-22 00:00,214.08699,-13.49184,2.549431693,-0.3321053
 2023-Oct-23 00:00,214.74851,-13.72551,2.549213933,-0.4217934
 2023-Oct-24 00:00,215.41213,-13.95766,2.548944679,-0.5104202
 2023-Oct-25 00:00,216.07786,-14.18824,2.548624547,-0.5979784
 2023-Oct-26 00:00,216.74572,-14.41723,2.548254144,-0.6845121
 2023-Oct-27 00:00,217.41574,-14.64459,2.547834038,-0.7701188
 2023-Oct-28 00:00,218.08795,-14.87027,2.547364722,-0.8549417
 2023-Oct-29 00:00,218.76237,-15.09424,2.546846603,-0.939151
 2023-Oct-30 00:00,219.43902,-15.31647,2.546279984,-1.022919
 2023-Oct-31 00:00,220.11794,-15.53691,2.545665074,-1.1063976
 2023-Nov-01 00:00,220.79915,-15.75552,2.545002005,-1.1897031
 2023-Nov-02 00:00,221.48266,-15.97227,2.544290854,-1.2729122
 2023-Nov-03 00:00,222.16851,-16.18712,2.543531662,-1.3560662
 2023-Nov-04 00:00,222.8567,-16.40003,2.542724457,-1.4391801
 2023-Nov-05 00:00,223.54725,-16.61094,2.54186926,-1.5222514
 2023-Nov-06 00:00,224.24018,-16.81983,2.540966101,-1.6052677
 2023-Nov-07 00:00,224.93549,-17.02665,2.540015015,-1.6882116
 2023-Nov-08 00:00,225.63321,-17.23134,2.539016051,-1.7710618
 2023-Nov-09 00:00,226.33333,-17.43388,2.53796927,-1.8537928
 2023-Nov-10 00:00,227.03587,-17.63421,2.53687475,-1.9363712
 2023-Nov-11 00:00,227.74083,-17.83229,2.535732591,-2.018752
 2023-Nov-12 00:00,228.44821,-18.02808,2.534542925,-2.1008728
 2023-Nov-13 00:00,229.15801,-18.22152,2.533305924,-2.1826505
 2023-Nov-14 00:00,229.87024,-18.41258,2.532021817,-2.2639793
 2023-Nov-15 00:00,230.58489,-18.6012,2.530690898,-2.3447338
 2023-Nov-16 00:00,231.30196,-18.78734,2.529313538,-2.4247747
